"","지역","대여건수","지하철","평균기온","평균습도","평균풍속","강수량","이산화질소농도","일산화탄소농도","아황산가스농도","미세먼지량","초미세먼지량","버스","계절","WeekDay","강수량수준"
"252","군집 4",394,457402,0.200000003,54.29999924,2,0,0.036,0.6,0.004,49,16,234054,"겨울",0,"1mm미만"
"253","군집 5",172,603047,-0.5,56.29999924,3.099999905,0,0.024,0.6,0.008,64,18,481650,"겨울",0,"1mm미만"
"254","군집 2",89,207433,-0.300000012,51.09999847,2.700000048,0,0.035,0.5,0.005,46,17,334911,"겨울",0,"1mm미만"
"255","군집 5",148,460434,-0.600000024,53,1.200000048,0,0.042,0.7,0.007,52,19,371472,"겨울",0,"1mm미만"
"256","군집 2",32,213067,-1,57.09999847,1.200000048,0,0.029,0.7,0.006,57,15,296764,"겨울",0,"1mm미만"
"257","군집 5",260,434639,-0.100000001,50.79999924,2.200000048,0,0.034,0.5,0.007,47,15,469740,"겨울",0,"1mm미만"
"258","군집 5",151,551851,0.300000012,57.40000153,2.400000095,0,0.028,0.5,0.005,47,15,484836,"겨울",0,"1mm미만"
"259","군집 6",874,743320,-0.699999988,60.79999924,1.700000048,0,0.031,0.5,0.004,45,17,420859,"겨울",0,"1mm미만"
"260","군집 5",387,158333,-0.699999988,56.09999847,2.400000095,0,0.033,0.4,0.004,55,14,536624,"겨울",0,"1mm미만"
"261","군집 4",460,396257,-0.300000012,54.59999847,2.700000048,0,0.03,0.4,0.006,56,20,241688,"겨울",0,"1mm미만"
"262","군집 5",151,380682,-0.400000006,52.40000153,1.700000048,0,0.038,0.6,0.006,56,15,527366,"겨울",0,"1mm미만"
"263","군집 3",271,661361,-0.100000001,55.59999847,1.700000048,0,0.032,0.7,0.006,47,12,512476,"겨울",0,"1mm미만"
"264","군집 2",106,176832,-0.400000006,57.40000153,2.299999952,0,0.034,0.5,0.005,43,16,354969,"겨울",0,"1mm미만"
"265","군집 2",125,329023,0.5,36.40000153,2.299999952,0,0.032,0.4,0.005,43,13,329353,"겨울",0,"1mm미만"
